,names,scores,logfoldchanges,pvals,pvals_adj,abslfc
938,AVIL,66.93857,4.2708454,0.0,0.0,4.2708454
90,TASP1,67.11305,4.268483,0.0,0.0,4.268483
1136,EFCAB6,66.90159,4.2684717,0.0,0.0,4.2684717
12599,SPATA18,-66.173325,-4.268166,0.0,0.0,4.268166
12677,CORT,-66.21486,-4.2662387,0.0,0.0,4.2662387
14444,PRDX5,-66.72288,-4.2660894,0.0,0.0,4.2660894
733,AMDHD1,66.97934,4.265706,0.0,0.0,4.265706
11383,NPAS4,-62.512123,-4.265608,0.0,0.0,4.265608
12339,RAB43,-65.877495,-4.2653227,0.0,0.0,4.2653227
1738,MYBPC2,66.78327,4.2649865,0.0,0.0,4.2649865
135,KLHL6,67.1012,4.264482,0.0,0.0,4.264482
13816,MCM6,-66.5407,-4.264032,0.0,0.0,4.264032
3225,ABCA9-AS1,66.0599,4.263296,0.0,0.0,4.263296
14623,NREP,-66.81621,-4.2626853,0.0,0.0,4.2626853
14398,TP53I3,-66.7039,-4.262494,0.0,0.0,4.262494
1196,FSHR,66.8923,4.261959,0.0,0.0,4.261959
544,ADGRF3,67.01524,4.259423,0.0,0.0,4.259423
13867,OST4,-66.55548,-4.25918,0.0,0.0,4.25918
2298,PDZRN3,66.64022,4.257464,0.0,0.0,4.257464
14069,SQLE,-66.60166,-4.2558913,0.0,0.0,4.2558913
430,ZMIZ1-AS1,67.03601,4.25463,0.0,0.0,4.25463
241,EFCAB10,67.075714,4.254573,0.0,0.0,4.254573
13499,SHMT2,-66.465,-4.253216,0.0,0.0,4.253216
80,DLGAP1,67.11667,4.252886,0.0,0.0,4.252886
1595,RDH12,66.81279,4.2503324,0.0,0.0,4.2503324
14038,SMG8,-66.59523,-4.2502136,0.0,0.0,4.2502136
1021,TAFA2,66.92314,4.2483945,0.0,0.0,4.2483945
13617,REEP6,-66.49259,-4.245862,0.0,0.0,4.245862
10492,ZSWIM8-AS1,-51.89051,-4.244908,0.0,0.0,4.244908
12659,GLIPR2,-66.203804,-4.24484,0.0,0.0,4.24484
465,SPSB1,67.02802,4.2444806,0.0,0.0,4.2444806
13033,CALR,-66.34516,-4.2429514,0.0,0.0,4.2429514
12835,S100A13,-66.2818,-4.242599,0.0,0.0,4.242599
1294,ZYG11A,66.8754,4.2420125,0.0,0.0,4.2420125
1914,EPHA10,66.74405,4.241188,0.0,0.0,4.241188
14305,HSP90AA1,-66.66621,-4.2406216,0.0,0.0,4.2406216
500,SLC23A1,67.02243,4.240433,0.0,0.0,4.240433
2326,LMOD3,66.63016,4.2401857,0.0,0.0,4.2401857
298,LACTB2-AS1,67.062355,4.237846,0.0,0.0,4.237846
2100,PPP3CC,66.70426,4.237707,0.0,0.0,4.237707
13086,CDRT4,-66.359085,-4.237435,0.0,0.0,4.237435
3105,LGR5,66.213646,4.2364144,0.0,0.0,4.2364144
14423,BRK1,-66.71364,-4.2361054,0.0,0.0,4.2361054
763,SLC30A8,66.97254,4.235694,0.0,0.0,4.235694
696,NCF2,66.9869,4.233696,0.0,0.0,4.233696
896,CUBN,66.944824,4.2306843,0.0,0.0,4.2306843
14689,FKBP4,-66.86024,-4.230568,0.0,0.0,4.230568
12385,TWIST1,-65.92054,-4.2304897,0.0,0.0,4.2304897
13974,CKMT1B,-66.5805,-4.2295346,0.0,0.0,4.2295346
13756,MLLT11,-66.52386,-4.229208,0.0,0.0,4.229208
12906,TRAF5,-66.30158,-4.227692,0.0,0.0,4.227692
1054,CASC18,66.917816,4.227655,0.0,0.0,4.227655
1498,CCDC62,66.83169,4.2270136,0.0,0.0,4.2270136
12830,SAMD11,-66.27806,-4.225829,0.0,0.0,4.225829
1662,MX1,66.79946,4.223242,0.0,0.0,4.223242
13733,SNRPE,-66.518745,-4.222958,0.0,0.0,4.222958
1076,XAF1,66.91208,4.2219586,0.0,0.0,4.2219586
2444,ANO5,66.58914,4.221159,0.0,0.0,4.221159
1158,DENND4A,66.897644,4.2199345,0.0,0.0,4.2199345
3228,FBXO40,66.05799,4.2188554,0.0,0.0,4.2188554
13384,C1QTNF3,-66.43488,-4.218626,0.0,0.0,4.218626
486,CRTAC1,67.024864,4.2184076,0.0,0.0,4.2184076
1586,MEF2C-AS1,66.8139,4.21774,0.0,0.0,4.21774
3035,SLC17A6,66.28616,4.2177114,0.0,0.0,4.2177114
1346,ZNF586,66.865585,4.2176795,0.0,0.0,4.2176795
13980,CHMP2A,-66.58139,-4.2152963,0.0,0.0,4.2152963
2421,CADPS,66.598366,4.2146864,0.0,0.0,4.2146864
2508,FBXL17,66.56991,4.214121,0.0,0.0,4.214121
13480,PAFAH1B3,-66.46096,-4.2133713,0.0,0.0,4.2133713
1864,ALOX5AP,66.75606,4.2129717,0.0,0.0,4.2129717
12608,C12orf57,-66.17697,-4.2124724,0.0,0.0,4.2124724
10631,LIME1,-54.18879,-4.2113967,0.0,0.0,4.2113967
3657,MYBPHL,65.26802,4.211278,0.0,0.0,4.211278
14595,NXPH3,-66.79812,-4.2106204,0.0,0.0,4.2106204
12124,GNG11,-65.51277,-4.2105,0.0,0.0,4.2105
14099,UBL5,-66.60848,-4.2103744,0.0,0.0,4.2103744
2856,COLQ,66.39695,4.210109,0.0,0.0,4.210109
3686,ACSM3,65.18927,4.209237,0.0,0.0,4.209237
14648,CD59,-66.829025,-4.2044954,0.0,0.0,4.2044954
537,GCC2-AS1,67.01675,4.203984,0.0,0.0,4.203984
13631,LAMTOR4,-66.49534,-4.2039247,0.0,0.0,4.2039247
588,SH3RF1,67.00677,4.2029305,0.0,0.0,4.2029305
14358,JMJD1C-AS1,-66.68373,-4.2023315,0.0,0.0,4.2023315
705,KCNN3,66.98525,4.19877,0.0,0.0,4.19877
14197,TOMM20,-66.63642,-4.1984644,0.0,0.0,4.1984644
11208,MAT1A,-61.059418,-4.195305,0.0,0.0,4.195305
14019,HAUS4,-66.58977,-4.1942477,0.0,0.0,4.1942477
13509,SSR4,-66.466774,-4.1937118,0.0,0.0,4.1937118
3070,PDE1A,66.25317,4.19128,0.0,0.0,4.19128
1995,RUBCNL,66.72905,4.1909904,0.0,0.0,4.1909904
1238,BCL2,66.8846,4.19029,0.0,0.0,4.19029
1039,TMEM131L,66.919754,4.189742,0.0,0.0,4.189742
