,GeneID,logfc_Native_CM,logfc_Early_hipsc_CM,description
438,IFITM1,-4.8439255,3.1115818,interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]
1248,TM4SF1,-2.6107135,5.7722526,transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]
55,HSF4,7.6197743,-1.9659747,heat shock transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:5227]
47,DHRS9,7.8416934,-1.9097607,dehydrogenase/reductase 9 [Source:HGNC Symbol;Acc:HGNC:16888]
700,CLIC5,3.905097,-3.827588,chloride intracellular channel 5 [Source:HGNC Symbol;Acc:HGNC:13517]
717,TBX18,-3.8619041,3.8667731,T-box transcription factor 18 [Source:HGNC Symbol;Acc:HGNC:11595]
561,FBLN1,-4.3607416,3.4076278,fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]
1354,GJA4,-2.430276,6.1087837,gap junction protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:4278]
293,MAB21L2,-5.466348,2.7114058,mab-21 like 2 [Source:HGNC Symbol;Acc:HGNC:6758]
497,PHACTR1,4.638964,-3.1948035,phosphatase and actin regulator 1 [Source:HGNC Symbol;Acc:HGNC:20990]
354,CTNNA3,5.1939883,-2.8394442,catenin alpha 3 [Source:HGNC Symbol;Acc:HGNC:2511]
340,TNC,-5.2647734,2.7724488,tenascin C [Source:HGNC Symbol;Acc:HGNC:5318]
760,HJV,3.74817,-3.8941882,hemojuvelin BMP co-receptor [Source:HGNC Symbol;Acc:HGNC:4887]
300,SERPING1,-5.427833,2.6763163,serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]
640,ASCL1,-4.0702267,3.5670009,achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:738]
316,GLIPR2,-5.368305,2.6713295,GLI pathogenesis related 2 [Source:HGNC Symbol;Acc:HGNC:18007]
32,PACRG,8.40957,-1.6914421,parkin coregulated [Source:HGNC Symbol;Acc:HGNC:19152]
266,MARCKS,-5.563592,2.5566614,myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]
371,TP53TG5,5.1336956,-2.7687213,TP53 target 5 [Source:HGNC Symbol;Acc:HGNC:15856]
234,SPARC,-5.814418,2.4442074,secreted protein acidic and cysteine rich [Source:HGNC Symbol;Acc:HGNC:11219]
676,SYT10,-3.963566,3.5827184,synaptotagmin 10 [Source:HGNC Symbol;Acc:HGNC:19266]
599,ENC1,-4.175637,3.368177,ectodermal-neural cortex 1 [Source:HGNC Symbol;Acc:HGNC:3345]
146,TMEM88,-6.419809,2.1810503,transmembrane protein 88 [Source:HGNC Symbol;Acc:HGNC:32371]
406,HAS2,-4.985083,2.8014457,hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819]
999,DLK1,-3.1713169,4.4026585,delta like non-canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2907]
626,EXOC3L1,-4.096014,3.40217,exocyst complex component 3 like 1 [Source:HGNC Symbol;Acc:HGNC:27540]
