"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RHEB",0,-1.25793383889142,0.271,0.409,0
"C2CD5",0,1.31063280324807,0.24,0.103,0
"CKM",0,-1.10365117853313,0.51,0.647,0
"COA6",0,-2.61337647418707,0.032,0.169,0
"COL2A1",0,-10.1432695733807,0,0.137,0
"CRIPT",0,-2.55951555014015,0.043,0.18,0
"DNAJC1",0,0.694957273720057,0.319,0.182,0
"ENSG00000243415",0,13.8303804590928,0.137,0,0
"HTATSF1",0,-2.78537502475775,0.025,0.162,0
"HYCC1",0,13.2770384049675,0.137,0,0
"ISCA2",0,-2.17734445956959,0.046,0.183,0
"LARP1B",0,1.35323334498826,0.251,0.114,0
"NFE2L3",0,3.85696800722861,0.156,0.019,0
"PRKCA",0,1.71313857578908,0.212,0.075,0
"SLC25A39",0,-2.34728792772865,0.046,0.183,0
"TPRKB",0,-2.87528693115226,0.032,0.169,0
"AC093849.2",0,-15.9105639926803,0,0.137,0
"ARSG",0,4.42407291163467,0.15,0.013,0
"CNTNAP3",0,3.19226494512818,0.176,0.039,0
"FRMD5",0,0.655981293542137,0.295,0.158,0
"PGLS",0,-2.57070173785325,0.036,0.173,0
"BUD23",0,-2.12513976801757,0.051,0.187,0
"CHID1",0,-2.88612136254802,0.032,0.168,0
"COBL",0,0.815293341249498,0.328,0.192,0
"DMKN",0,-3.09780701803866,0.027,0.163,0
"EIF2S2",0,-1.54409549344384,0.102,0.238,0
"KIZ",0,1.97891622483789,0.197,0.061,0
"MROH1",0,1.77853902121216,0.214,0.078,0
"PRDM5",0,1.47510108987089,0.218,0.082,0
"SREBF2",0,0.697637824874996,0.323,0.187,0
"TAFAZZIN",0,13.5401301395025,0.136,0,0
"TBC1D22A",0,1.26579563463808,0.252,0.116,0
"TMEM88",0,-6.05738501522202,0.002,0.138,0
"WARS2-AS1",0,1.67100104637806,0.197,0.061,0
"ZFTRAF1",0,13.5525106803011,0.136,0,0
"ZMAT2",0,-3.5239036195034,0.016,0.152,0
"ARL5A",0,-1.50042061759435,0.151,0.287,0
"CCDC167",0,-3.82255556543861,0.014,0.15,0
"ECT2L",0,5.77314571576732,0.141,0.005,0
"GK",0,2.89438426026213,0.176,0.04,0
"HNRNPD",0,-1.37628796872751,0.209,0.345,0
"SLC2A4",0,1.90332305281603,0.205,0.069,0
"STOX2",0,0.63132666416134,0.302,0.166,0
"ADAMTS6",0,-2.21462368205957,0.091,0.226,0
"FGF13",0,-2.02265592447941,0.032,0.167,0
"KLHDC1",0,2.89762523224626,0.161,0.026,0
"KLRD1",0,4.20756659051199,0.151,0.016,0
"LYST",0,1.92347408469116,0.189,0.054,0
"NRSN2-AS1",0,1.96940136676939,0.192,0.057,0
"RAB7A",0,0.64975947017163,0.418,0.283,0
"SLC2A1",0,-3.09082420520788,0.033,0.168,0
"TEX2",0,1.62308156777349,0.221,0.086,0
"TTC27",0,1.66751091751973,0.21,0.075,0
"ZNF431",0,1.43107371792538,0.251,0.116,0
"ANGPT2",0,3.39283373174438,0.146,0.011,0
"CDC27",0,0.99196210903541,0.283,0.148,0
"RAB34",0,-4.50824153354948,0.007,0.142,0
"RSRP1",0,0.655273555546909,0.346,0.211,0
"SSBP3",0,1.13095257036609,0.292,0.157,0
"TMEM59",0,-1.36466084739374,0.153,0.288,0
"CREB1",0,1.1246729935165,0.276,0.142,0
"DDI2",0,2.92267594309217,0.168,0.034,0
"DENND6A",0,1.722586178974,0.211,0.077,0
"DGKI",0,-2.45608427970397,0.061,0.195,0
"DNAJA2",0,-2.04569281016041,0.063,0.197,0
"H4C3",0,-4.60675537276946,0.031,0.165,0
"ITGB1BP2",0,-2.25734421511615,0.049,0.183,0
"LARP1",0,0.931385821052346,0.311,0.177,0
"NAA25",0,1.27820113077611,0.248,0.114,0
"NEK11",0,2.98615790128807,0.16,0.026,0
"NPPB",0,-0.757954003901352,0.115,0.249,0
"NUCKS1",0,-1.27373066718836,0.305,0.439,0
"NUDCD3",0,1.46045073973541,0.223,0.089,0
"PIN4",0,-1.50626966202163,0.096,0.23,0
"PRPF40B",0,1.73021355681356,0.209,0.075,0
"RSF1",0,0.822161983695839,0.316,0.182,0
"SMPD4",0,2.83501065686645,0.16,0.026,0
"SNX17",0,-3.00054981785338,0.022,0.156,0
"SUGCT",0,1.77893349077277,0.208,0.074,0
"TPM2",0,-1.07610135519679,0.478,0.612,0
"TTTY10",0,4.14367575216615,0.165,0.031,0
"ZRANB3",0,1.41601676627227,0.214,0.08,0
"TPTEP2",0,-15.8312483101096,0,0.134,0
"LINC01278",0,-15.8761327031255,0,0.134,0
"CUL5",0,1.12178488535936,0.278,0.145,0
"B3GALNT2",0,1.56199181764536,0.237,0.104,0
"CLYBL",0,1.73621910290703,0.206,0.073,0
"DIABLO",0,-6.65827960892351,0.004,0.137,0
"EI24",0,-2.59300977769096,0.032,0.165,0
"FMC1",0,-2.81032503185334,0.038,0.171,0
"GON4L",0,1.87442751352386,0.202,0.069,0
"HEBP2",0,-2.09618484759668,0.056,0.189,0
"IK",0,-2.47973355980661,0.032,0.165,0
"NOSIP",0,-1.65471217614331,0.077,0.21,0
"SKIC8",0,13.4180801570592,0.133,0,0
"SLC12A6",0,1.95615607316681,0.197,0.064,0
"TAPT1-AS1",0,2.57562833194558,0.169,0.036,0
"UBN2",0,1.70411706939139,0.219,0.086,0
"HSD17B4",0,1.23775799317932,0.282,0.149,0
"SH2B3",0,3.44224048881142,0.145,0.012,0
"TMED9",0,-2.564357358473,0.04,0.173,0
"XRCC6",0,-1.16612295989022,0.169,0.302,0
"ABCA1",0,2.03359910810825,0.205,0.073,0
"AIF1L",0,-6.5753454516904,0.002,0.134,0
"AKR7A2",0,-3.14002925481485,0.018,0.15,0
"ARHGEF9",0,1.49848591598443,0.253,0.121,0
"BEX1",0,-5.53476980329842,0.003,0.135,0
"CAV2",0,0.699635557389205,0.399,0.267,0
"CCN2",0,-3.29562002382659,0.02,0.152,0
"CDV3",0,-2.1546934492564,0.055,0.187,0
"COPRS",0,-2.93960206317498,0.023,0.155,0
"DCP1A",0,1.27139913830658,0.257,0.125,0
"ENSG00000232464",0,13.609004622132,0.132,0,0
"FAM133B",0,1.15858450537708,0.229,0.097,0
"FDPS",0,-1.74492253752664,0.075,0.207,0
"GPS1",0,-2.75407220671679,0.027,0.159,0
"IGF2BP1",0,-5.96570768231032,0.002,0.134,0
"LINC03076",0,12.9841210756472,0.132,0,0
"LRCH1",0,1.09784183937611,0.248,0.116,0
"LSM8",0,-1.85110762038207,0.087,0.219,0
"NSF",0,2.62677697454952,0.177,0.045,0
"POLK",0,1.46545086734489,0.227,0.095,0
"PPP1R14C",0,-1.0248040272436,0.307,0.439,0
"RCN2",0,-2.10066526474833,0.073,0.205,0
"SYF2",0,-2.13193777155621,0.049,0.181,0
"ZNF248",0,1.94820025471679,0.197,0.065,0
"DPY19L1P1",0,-15.9518748154763,0,0.132,0
"C15orf41",0,-16.3330972100127,0,0.132,0
