"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DHRS4L2",0,-2.47472019122582,0.018,0.235,0
"CARS",0,-12.6582020049225,0,0.217,0
"DYRK2",0,-0.387513139382613,0.131,0.348,0
"TES",0,-0.91073283029213,0.071,0.288,0
"ZCCHC24",0,-0.296715096941811,0.131,0.348,0
"CTTNBP2NL",0,-1.0729181252892,0.059,0.275,0
"POLR2K",0,0.485376316098734,0.185,0.401,0
"TAX1BP3",0,0.559186649919835,0.236,0.452,0
"YPEL3",0,-0.342593120837064,0.117,0.333,0
"KCTD20",0,-0.51757432135484,0.099,0.315,0
"N4BP1",0,-0.445165663174227,0.095,0.311,0
"PIGT",0,-0.284928550659905,0.089,0.305,0
"SERPING1",0,-1.78316818248896,0.013,0.229,0
"SPECC1L",0,0.282250891215186,0.168,0.384,0
"TTC14",0,-0.414406551440444,0.088,0.304,0
"PGAM2",0,2.72601917950551,0.577,0.361,0
"UCHL5",0,-0.744086708984501,0.078,0.294,0
"ATP1B2",0,-0.628232840888577,0.121,0.336,0
"DBT",0,-1.22885810737185,0.061,0.276,0
"DNAJB9",0,-0.385712738363461,0.119,0.334,0
"EXOSC10",0,-0.762992831693357,0.062,0.277,0
"PFKM",0,0.325758960754149,0.239,0.454,0
"POR",0,-1.24160580576466,0.052,0.267,0
"IQGAP1",0,-0.695016574140042,0.087,0.302,0
"PAXX",0,0.460454421671203,0.159,0.374,0
"PSMB10",0,-1.97087236665344,0.023,0.238,0
"TMEM259",0,0.3014604096987,0.155,0.37,0
"TRIM71",0,-4.8731298826417,0.005,0.22,0
"MTATP6P1",0,15.2320952132607,0.215,0,0
"IGFBP5",0,-1.16547918123733,0.196,0.411,0
"MRPL18",0,0.36777472885125,0.197,0.412,0
"SART3",0,-0.947597183933199,0.067,0.282,0
"TMCO3",0,-0.648927108436895,0.084,0.299,0
"CTNNBL1",0,-0.344209746390108,0.109,0.323,0
"KANSL1",0,0.569539516517749,0.181,0.395,0
"LDLR",0,-1.39056728987937,0.05,0.264,0
"LRIF1",0,-1.437594059436,0.05,0.264,0
"LRRC58",0,-1.13664195656849,0.063,0.277,0
"AGO1",0,-2.0510760762317,0.034,0.248,0
"BAZ1A",0,-0.517931988626986,0.09,0.304,0
"CHERP",0,-9.12701688321794,0.001,0.215,0
"MARCHF6",0,14.9377038839336,0.214,0,0
"MRPL37",0,0.309498363742298,0.163,0.377,0
"PTPN2",0,-0.441834477429936,0.097,0.311,0
"RPUSD3",0,-0.336101241134333,0.093,0.307,0
"SENP5",0,-0.475649582069323,0.087,0.301,0
"UBE2J1",0,-0.422859902127617,0.088,0.302,0
"EP400",0,-0.669843155031658,0.084,0.298,0
"HCN4",0,-1.31556827489415,0.073,0.287,0
"TXNDC15",0,-0.747483082798171,0.068,0.282,0
"ANKZF1",0,-0.783206998868403,0.068,0.281,0
"ATE1",0,0.321123361757984,0.178,0.391,0
"BABAM1",0,0.383390182196029,0.178,0.391,0
"CLUAP1",0,-0.992328423166228,0.064,0.277,0
"COX19",0,-0.654962155193116,0.061,0.274,0
"FAM216A",0,-1.26477310610383,0.051,0.264,0
