"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NUDCD2",0,-1.79794355802502,0.043,0.37,0
"TGOLN2",0,-2.13335642531515,0.046,0.373,0
"RAB11B",0,-0.887545366471252,0.095,0.422,0
"VPS29",0,-0.601656516968762,0.167,0.494,0
"UACA",0,-0.578109628693212,0.235,0.561,0
"IFT57",0,-2.23070738879173,0.037,0.363,0
"MRPL16",0,-1.1193780813522,0.075,0.401,0
"RAD50",0,-1.7267851405286,0.109,0.435,0
"SRP68",0,-1.86377349360849,0.051,0.377,0
"WSB1",0,-0.481874583821024,0.447,0.773,0
"DDX60L",0,6.41590685989898,0.35,0.024,0
"DOCK5",0,5.86310439869176,0.355,0.029,0
"GPI",0,-0.301758282455212,0.393,0.719,0
"RHEB",0,-0.269333484699502,0.271,0.597,0
"SOX12",0,-3.17234918780503,0.018,0.344,0
"TP53BP2",0,-1.30664662151612,0.09,0.416,0
"RANBP2",0,-0.442237757581111,0.225,0.55,0
"ADRA1A",0,12.3588851064745,0.325,0,0
"PAM16",0,-2.6117267128468,0.042,0.367,0
"PPP3CC",0,4.3434733017215,0.432,0.107,0
"PRSS35",0,-5.89686454386729,0.004,0.329,0
"RBMX",0,-0.430197164682945,0.46,0.785,0
"SLCO5A1",0,8.21875149303919,0.331,0.006,0
"ACTR1A",0,-1.09040276231279,0.09,0.415,0
"CIAPIN1",0,-0.901067719684192,0.106,0.43,0
"HIKESHI",0,-0.928819384221173,0.115,0.439,0
"SDHD",0,-1.93665385609046,0.064,0.388,0
"TRIAP1",0,-3.95549744043386,0.009,0.333,0
"ATP6V0D1",0,-1.70716090200611,0.056,0.379,0
"HAUS1",0,-3.11292715142826,0.017,0.34,0
"MAD2L2",0,-4.31052095408533,0.007,0.33,0
"MAGOH",0,-1.98667865402137,0.043,0.366,0
"MAP4K3",0,3.5757675239867,0.613,0.29,0
"TUBA1C",0,-2.37456078663749,0.052,0.375,0
"TMEM161B-AS1",0,-15.9260373874185,0,0.323,0
"HIST2H2AC",0,-16.2107467451336,0,0.323,0
"EHMT2",0,-2.54648229356231,0.027,0.35,0
"SFMBT2",0,5.55952611537054,0.358,0.035,0
"TCOF1",0,-2.58037206962819,0.029,0.352,0
"ADAM23",0,3.99936317161687,0.456,0.134,0
"CKS2",0,-6.01176737668927,0.003,0.325,0
"DACT3",0,-3.57775742143643,0.016,0.338,0
"DNAJC4",0,-2.05624781098274,0.036,0.358,0
"GGNBP2",0,-0.430469108213962,0.174,0.496,0
"MOB1A",0,-1.66992195604207,0.064,0.386,0
"NXN",0,-0.549393807044154,0.136,0.458,0
"RPF1",0,-1.59159456315406,0.054,0.376,0
"VIPR2",0,4.5554303750685,0.379,0.057,0
"ZZZ3",0,15.3729175594931,0.322,0,0
"LINC01405",0,-17.2881100221734,0,0.322,0
"EIF2A",0,-0.578241341048779,0.157,0.479,0
"ENSG00000274317",0,15.5298422332263,0.321,0,0
"GPS2",0,-2.30578886907017,0.046,0.367,0
"MRPS17",0,-4.50951344850355,0.009,0.33,0
"MRTO4",0,-2.7732700294004,0.021,0.342,0
"REXO4",0,-2.01777715050279,0.044,0.365,0
"RFXANK",0,-2.90587654574815,0.017,0.338,0
"SURF2",0,-4.20503162883369,0.007,0.328,0
"UBAP2L",0,-0.902348026615504,0.127,0.448,0
"FAM189A2",0,-16.3982550953907,0,0.321,0
"HIST1H1D",0,-17.2308380493412,0,0.321,0
"ALDH9A1",0,-2.42364429199483,0.033,0.354,0
"NANS",0,-2.1649198086017,0.034,0.355,0
"ZNF664",0,-3.32610761806629,0.029,0.35,0
"ALDH6A1",0,-2.07308724897343,0.044,0.364,0
"ERG28",0,-2.81877413540555,0.02,0.34,0
